DATE: 2022-04-02 04:09:51 PM|Action: addAppointmentMTLA0000|MTLM123456|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM123456/ AppointmentType: DENTAL/ NumofAppointment: 2 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 04:11:50 PM|Action: Appointment BookedMTLM123456 | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM123456/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-02 05:25:24 PM|Action: addAppointmentMTLA0000|MTLM020422|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM020422/ AppointmentType: DENTAL/ NumofAppointment: 3 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 05:26:00 PM|Action: Appointment BookedMTLM020422 | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-02 05:27:17 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-02 05:27:17 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-02 05:27:17 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM020422=Appointment{Number of Appoinntment='2}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-02 05:36:29 PM|Action: addAppointmentMTLA0000|MTLM020422|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM020422/ AppointmentType: DENTAL/ NumofAppointment: 3 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 05:51:03 PM|Action: addAppointmentMTLA0000|MTLM020422|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM020422/ AppointmentType: DENTAL/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 06:01:28 PM|Action: addAppointmentMTLA0000|MTLM09090909|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM09090909/ AppointmentType: DENTAL/ NumofAppointment: 3 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 06:07:21 PM|Action: addAppointmentMTLA0000|MTLM020422|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM020422/ AppointmentType: DENTAL/ NumofAppointment: 3 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 06:10:38 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-02 06:10:38 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-02 06:10:38 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM020422=Appointment{Number of Appoinntment='2}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-02 06:20:56 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-02 06:20:56 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-02 06:20:56 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-02 09:50:44 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-02 09:50:44 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
