DATE: 2022-04-02 05:28:56 PM|Action: addAppointmentSHEA0000|SHEM020422|PHYSICIAN | Parameters: USER:sheserverSHEA0000/ AppointmentId: SHEM020422/ AppointmentType: PHYSICIAN/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 05:29:15 PM|Action: List of Appointments | Parameters: USER: MONserverSHEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-02 05:29:15 PM|Action: List of Appointments | Parameters: USER: MONserverSHEA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-02 05:29:15 PM|Action: List of Appointments | Parameters: USER: AllserverSHEA0000 | Action Status: Success | Resonse: {PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}, SHEM020422=Appointment{Number of Appoinntment='5}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM020422=Appointment{Number of Appoinntment='2}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-02 05:37:00 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-02 05:37:00 PM|Action: Appointment BookedMTLM020422 | Parameters: USER: mtlserverSHEP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-02 05:44:47 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-02 05:44:47 PM|Action: Appointment not BookedMTLM020422 | Parameters: USER:mtlserverSHEP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-02 05:51:31 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-02 05:51:31 PM|Action: Appointment BookedMTLM020422 | Parameters: USER: mtlserverSHEP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-02 05:56:51 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-02 05:56:51 PM|Action: Appointment not BookedMTLM020422 | Parameters: USER:mtlserverSHEP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
DATE: 2022-04-02 06:01:48 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-02 06:01:48 PM|Action: Appointment not BookedMTLM020422;Success | Parameters: USER:mtlserverSHEP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: failed | Resonse: false
