Date:2022-04-03 01:04:59 PM|Action:addAppointmentQUEA0000|QUEA121212|PHYSICIAN| Response:A
Date:2022-04-03 01:05:19 PM|Action:Appointment removedQUEA121212| Response:A
Date:2022-04-03 01:05:32 PM|Action:List of Appointments| Response:success
Date:2022-04-03 01:05:32 PM|Action:List of Appointments| Response:success
Date:2022-04-03 01:05:32 PM|Action:List of Appointments| Response:success
Date:2022-04-03 03:19:40 PM|Action:List of Appointments| Response:success
Date:2022-04-03 03:19:40 PM|Action:List of Appointments| Response:success
Date:2022-04-03 03:19:40 PM|Action:List of Appointments| Response:success
Date:2022-04-03 03:38:01 PM|Action:List of Appointments| Response:success
Date:2022-04-03 03:38:01 PM|Action:List of Appointments| Response:success
Date:2022-04-03 03:38:01 PM|Action:List of Appointments| Response:success
Date:2022-04-04 01:58:00 PM|Action:addAppointmentQUEA0000|QUEA280322|SURGEON| Response:A
Date:2022-04-04 01:58:49 PM|Action:List of Appointments| Response:success
Date:2022-04-04 01:58:49 PM|Action:List of Appointments| Response:success
Date:2022-04-04 01:58:49 PM|Action:List of Appointments| Response:success
