DATE: 2022-04-03 01:03:49 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:03:49 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER: mtlserverQUEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:04:20 PM|Action:  | Parameters: USER: QUEServerQUEE121212/ AppointmentId: 0/ AppointmentType: 0/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-04-03 01:04:59 PM|Action: addAppointmentQUEA0000|QUEA121212|PHYSICIAN | Parameters: USER:MONserverQUEA0000/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 01:05:19 PM|Action: Appointment removedQUEA121212 | Parameters: USER: QUEserverQUEA0000/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-04-03 01:05:32 PM|Action: List of Appointments | Parameters: USER: MONserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 01:05:32 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 01:05:32 PM|Action: List of Appointments | Parameters: USER: AllserverQUEA0000 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='0}, QUEE121212=Appointment{Number of Appoinntment='9}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 01:06:04 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:06:04 PM|Action:  | Parameters: USER: QUEServerQUEA1212/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-04-03 01:06:57 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:06:57 PM|Action: Appointment not BookedQUEE121212 | Parameters: USER:mtlserverQUEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-04-03 01:07:34 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:08:42 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:08:42 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER:queserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:09:03 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
